crn|class limits|cur enroll|xlist act 1|xlist act 2|xlist act 3
17379|5|0|||
17380|5|0|||
17381|5|0|||
17383|5|0|||
17384|5|0|||
17386|5|0|||
17387|5|0|||
17389|5|0|||
17390|5|0|||
17391|5|0|||
17392|5|0|||
17393|5|0|||
17394|5|0|||
17396|5|0|||
17397|5|0|||
17401|100|23|||
17403|80|5|||
17405|16|11|||
17429|15|6|||
17435|999|0|||
17436|999|0|||
17437|5|0|||
17438|5|0|||
17440|5|0|||
17441|5|0|||
17442|5|0|||
17443|5|0|||
17444|5|0|||
17445|5|0|||
17446|5|0|||
17447|5|0|||
17448|5|0|||
17449|5|0|||
17450|5|0|||
17451|5|0|||
17452|5|0|||
17453|5|0|||
17454|5|0|||
17455|5|0|||
17457|5|0|||
17458|5|0|||
17459|5|0|||
